Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,RunSize,'Today'(05/19)Passage%,WaterSupplyAprSepPercentofNormal
2025 YTD,04/11,,,,,,,,05/17,,,,137 (YTD),,90% 
Average (2000 - 2024),04/01,04/16,04/22,04/27,05/04,05/21,06/11,06/22,07/16,51.1,25.7,67.4,138.0,80.4%,
Median (2000 - 2024),04/07,04/20,04/24,04/28,05/03,05/11,06/25,07/05,07/18,62,13,76,80.0,87.5%,
2024,02/29,04/16,04/20,04/27,05/02,05/10,05/18,07/02,07/17,29,14,78,108,90.7%,74% 
2023,04/21,04/27,04/28,05/01,05/10,05/13,05/17,05/22,07/05,20,13,26,131,93.9%,84% 
2022,03/21,04/22,04/24,04/28,05/03,05/10,05/16,05/20,07/15,23,13,29,207,93.2%,107% 
2021,04/19,04/22,04/26,04/28,05/02,05/08,05/14,06/30,07/13,19,11,70,71,94.4%,81% 
2020,04/16,04/19,04/28,05/01,05/05,05/16,07/06,07/10,08/14,70,16,83,42,76.2%,103% 
2019,05/02,05/02,05/03,05/08,05/30,07/03,07/09,07/11,07/12,68,57,71,22,31.8%,93% 
2018,04/28,05/01,05/05,05/08,05/20,07/01,07/07,07/12,07/19,64,55,73,37,48.6%,111% 
2017,02/27,02/27,05/01,05/05,05/17,05/23,07/01,07/05,07/05,62,19,129,19,52.6%,120% 
2016,04/02,04/16,04/21,04/27,04/30,05/07,05/15,05/24,07/10,25,11,39,65,90.8%,89% 
2015,04/09,04/12,04/16,04/20,04/28,05/09,05/25,06/27,08/27,40,20,77,80,87.5%,68% D
2014,04/07,04/18,04/20,04/25,04/30,05/07,06/25,07/10,08/08,67,13,84,115,87.8%,104% 
2013,03/05,04/23,04/25,04/29,05/06,06/24,07/07,07/18,08/04,74,57,87,53,66.0%,97% 
2012,04/07,04/20,04/23,05/02,05/08,05/14,07/04,07/06,07/17,73,13,78,99,82.8%,128% 
2011,04/20,04/26,04/28,05/03,05/09,05/18,07/06,07/15,07/27,70,16,81,99,77.8%,137% W
2010,03/29,04/13,04/15,04/21,04/28,05/06,07/03,07/11,07/19,80,16,90,189,86.2%,86% 
2009,04/22,04/24,04/26,05/02,05/08,05/16,06/28,07/09,07/17,64,15,77,75,86.7%,91% 
2008,03/02,04/15,04/19,04/27,05/11,07/05,07/14,07/17,08/01,87,70,94,112,64.3%,105% 
2007,04/12,04/13,04/15,04/19,04/26,05/09,06/21,06/29,07/19,68,21,78,78,88.5%,89% 
2006,02/21,04/26,04/30,05/04,05/08,05/11,05/15,05/20,07/02,16,8,25,397,94.0%,109% 
2005,04/11,04/20,04/22,04/25,04/28,05/04,05/11,05/16,07/19,20,10,27,602,97.2%,77% 
2004,03/24,04/13,04/15,04/18,04/22,04/30,05/06,05/12,07/15,22,13,30,653,97.7%,91% 
2003,03/02,03/18,03/28,04/10,05/07,06/27,07/11,07/16,08/13,106,79,121,104,64.4%,88% 
2002,04/05,04/20,04/26,04/28,05/03,06/29,07/11,07/17,07/23,77,63,89,72,62.5%,106% 
2001,04/06,04/06,04/07,04/10,04/17,04/27,05/08,05/23,05/23,32,18,48,18,94.4%,62% D
2000,04/23,04/23,04/23,04/23,04/23,04/23,04/23,04/23,04/23,1,1,1,1,100.0%,98% 
